Date,Zimbabwe,Zimb_cumul,
18-Mar-23,65,73,
26-Mar-23,118,191,
31-Mar-23,96,287,
10-Apr-23,60,347,
21-Apr-23,71,418,
28-Apr-23,80,498,
05-May-23,79,577,
13-May-23,408,985,
20-May-23,280,1265,
27-May-23,362,1627,
04-Jun-23,482,2109,
11-Jun-23,319,2428,
18-Jun-23,331,2759,
09-Jul-23,181,2940,
15-Jul-23,166,3106,
24-Jul-23,150,3256,
30-Jul-23,145,3401,
06-Aug-23,33,3434,
13-Aug-23,50,3484,
20-Aug-23,19,3503,
27-Aug-23,20,3523,
03-Sep-23,3,3526,
08-Sep-23,30,3556,
17-Sep-23,38,3594,
22-Sep-23,58,3652,
30-Sep-23,204,3856,
07-Oct-23,343,4199,
13-Oct-23,339,4538,
20-Oct-23,215,4753,
28-Oct-23,372,5125,
06-Nov-23,526,5651,
11-Nov-23,828,6479,
18-Nov-23,549,7028,
26-Nov-23,837,7865,
03-Dec-23,1332,9197,
09-Dec-23,930,10127,
19-Dec-23,1094,11221,
24-Dec-23,823,12044,
31-Dec-23,1155,13199,
07-Jan-24,1568,14767,
12-Jan-24,1678,16445,
20-Jan-24,2020,18465,
29-Jan-24,1080,19545,
03-Feb-24,1678,21223,
10-Feb-24,1053,22276,
17-Feb-24,1273,23549,
04-Mar-24,1068,25215,
17-Mar-24,877,27109,
24-Mar-24,989,28098,
29-Mar-24,952,29050,
06-Apr-24,819,29869,
14-Apr-24,586,30455,
20-Apr-24,589,31044,
28-Apr-24,750,31794,
05-May-24,393,32187,
12-May-24,422,32609,
